tract,year,Close-down,New open,is_cbd,post_covid,DID,ln(New open),ln(Close-down),census_track,tr_x,population,yr,TRACTCE10,SHAPE_AREA,tr_y,density,pop,area,post covid * density,inflows,density_rank,density_group,cbd
19200,2016,0,0,0,0,0,-inf,-inf,192.0,192.0,9019,2016,019200,7070677.46952,192.0,1.2755496257436085,0.9019,7.07067746952,0.0,0,0.07784431137724551,high_density,non-CBD
19200,2017,1,0,0,0,0,-inf,0.0,192.0,192.0,8899,2017,019200,7070677.46952,192.0,1.258578126121784,0.8899,7.07067746952,0.0,-1,0.08113772455089821,high_density,non-CBD
19200,2018,0,0,0,0,0,-inf,-inf,192.0,192.0,8729,2018,019200,7070677.46952,192.0,1.2345351683241998,0.8729,7.07067746952,0.0,0,0.0877245508982036,high_density,non-CBD
19200,2019,0,0,0,1,0,-inf,-inf,192.0,192.0,8721,2019,019200,7070677.46952,192.0,1.2334037350160783,0.8721,7.07067746952,1.2334037350160783,0,0.08847305389221558,high_density,non-CBD
19200,2020,0,0,0,1,0,-inf,-inf,192.0,192.0,8652,2020,019200,7070677.46952,192.0,1.2236451227335292,0.8652,7.07067746952,1.2236451227335292,0,0.09311377245508982,high_density,non-CBD
19200,2021,1,0,0,1,0,-inf,0.0,192.0,192.0,8721,2021,019200,7070677.46952,192.0,1.2334037350160783,0.8721,7.07067746952,1.2334037350160783,-1,0.08847305389221558,high_density,non-CBD
19501,2012,0,0,0,0,0,-inf,-inf,195.01,195.01,4305,2012,019501,4239561.68103,195.01,1.0154351614372792,0.4305,4.23956168103,0.0,0,0.1844311377245509,low_density,non-CBD
19501,2013,0,0,0,0,0,-inf,-inf,195.01,195.01,4361,2013,019501,4239561.68103,195.01,1.0286440741063818,0.4361,4.23956168103,0.0,0,0.17634730538922155,low_density,non-CBD
19501,2014,0,0,0,0,0,-inf,-inf,195.01,195.01,4554,2014,019501,4239561.68103,195.01,1.0741676481266826,0.4554,4.23956168103,0.0,0,0.15508982035928143,low_density,non-CBD
19501,2015,0,0,0,0,0,-inf,-inf,195.01,195.01,4697,2015,019501,4239561.68103,195.01,1.1078975501209989,0.4697,4.23956168103,0.0,0,0.13892215568862276,low_density,non-CBD
19501,2016,0,0,0,0,0,-inf,-inf,195.01,195.01,4437,2016,019501,4239561.68103,195.01,1.0465704555858786,0.4437,4.23956168103,0.0,0,0.16766467065868262,low_density,non-CBD
19501,2017,0,0,0,0,0,-inf,-inf,195.01,195.01,4704,2017,019501,4239561.68103,195.01,1.1095486642046366,0.4704,4.23956168103,0.0,0,0.13832335329341316,low_density,non-CBD
19501,2018,0,0,0,0,0,-inf,-inf,195.01,195.01,4438,2018,019501,4239561.68103,195.01,1.0468063290263983,0.4438,4.23956168103,0.0,0,0.16736526946107785,low_density,non-CBD
19501,2019,0,1,0,1,0,0.0,-inf,195.01,195.01,4432,2019,019501,4239561.68103,195.01,1.0453910883832802,0.4432,4.23956168103,1.0453910883832802,1,0.1690119760479042,low_density,non-CBD
19501,2020,0,0,0,1,0,-inf,-inf,195.01,195.01,4617,2020,019501,4239561.68103,195.01,1.0890276748794234,0.4617,4.23956168103,1.0890276748794234,0,0.14760479041916166,low_density,non-CBD
19501,2021,0,1,0,1,0,0.0,-inf,195.01,195.01,4432,2021,019501,4239561.68103,195.01,1.0453910883832802,0.4432,4.23956168103,1.0453910883832802,1,0.1690119760479042,low_density,non-CBD
19502,2012,0,0,0,0,0,-inf,-inf,195.02,195.02,3711,2012,019502,3985700.49898,195.02,0.9310784894524061,0.3711,3.98570049898,0.0,0,0.2404191616766467,low_density,non-CBD
19502,2013,0,1,0,0,0,0.0,-inf,195.02,195.02,3604,2013,019502,3985700.49898,195.02,0.9042325184549911,0.3604,3.98570049898,0.0,1,0.26706586826347306,low_density,non-CBD
19502,2014,1,0,0,0,0,-inf,0.0,195.02,195.02,3767,2014,019502,3985700.49898,195.02,0.9451287172641374,0.3767,3.98570049898,0.0,-1,0.22934131736526947,low_density,non-CBD
19502,2015,0,0,0,0,0,-inf,-inf,195.02,195.02,3266,2015,019502,3985700.49898,195.02,0.8194293577341845,0.3266,3.98570049898,0.0,0,0.33562874251497005,low_density,non-CBD
19502,2016,0,0,0,0,0,-inf,-inf,195.02,195.02,3649,2016,019502,3985700.49898,195.02,0.915522880089418,0.3649,3.98570049898,0.0,0,0.25479041916167666,low_density,non-CBD
19502,2017,0,0,0,0,0,-inf,-inf,195.02,195.02,3529,2017,019502,3985700.49898,195.02,0.8854152490642795,0.3529,3.98570049898,0.0,0,0.28562874251497006,low_density,non-CBD
19502,2018,0,0,0,0,0,-inf,-inf,195.02,195.02,3940,2018,019502,3985700.49898,195.02,0.9885338853253787,0.394,3.98570049898,0.0,0,0.20179640718562875,low_density,non-CBD
19502,2019,0,0,0,1,0,-inf,-inf,195.02,195.02,3732,2019,019502,3985700.49898,195.02,0.9363473248818054,0.3732,3.98570049898,0.9363473248818054,0,0.23547904191616767,low_density,non-CBD
19502,2020,0,1,0,1,0,0.0,-inf,195.02,195.02,3955,2020,019502,3985700.49898,195.02,0.9922973392035209,0.3955,3.98570049898,0.9922973392035209,1,0.19910179640718562,low_density,non-CBD
19502,2021,1,0,0,1,0,-inf,0.0,195.02,195.02,3732,2021,019502,3985700.49898,195.02,0.9363473248818054,0.3732,3.98570049898,0.9363473248818054,-1,0.23547904191616767,low_density,non-CBD
19700,2012,1,0,0,0,0,-inf,0.0,197.0,197.0,6659,2012,019700,4848186.03207,197.0,1.3735034002308795,0.6659,4.84818603207,0.0,-1,0.058383233532934134,high_density,non-CBD
19700,2013,0,1,0,0,0,0.0,-inf,197.0,197.0,6570,2013,019700,4848186.03207,197.0,1.3551460188492082,0.657,4.84818603207,0.0,1,0.06227544910179641,high_density,non-CBD
19700,2014,0,0,0,0,0,-inf,-inf,197.0,197.0,6905,2014,019700,4848186.03207,197.0,1.4242440274206671,0.6905,4.84818603207,0.0,0,0.04940119760479042,high_density,non-CBD
19700,2015,1,1,0,0,0,0.0,0.0,197.0,197.0,7096,2015,019700,4848186.03207,197.0,1.4636402054420063,0.7096,4.84818603207,0.0,0,0.04251497005988024,high_density,non-CBD
19700,2016,0,1,0,0,0,0.0,-inf,197.0,197.0,6843,2016,019700,4848186.03207,197.0,1.4114557392671434,0.6843,4.84818603207,0.0,1,0.05239520958083832,high_density,non-CBD
19700,2017,0,0,0,0,0,-inf,-inf,197.0,197.0,7057,2017,019700,4848186.03207,197.0,1.4555959596680157,0.7057,4.84818603207,0.0,0,0.045209580838323354,high_density,non-CBD
19700,2018,0,0,0,0,0,-inf,-inf,197.0,197.0,7034,2018,019700,4848186.03207,197.0,1.4508519172884826,0.7034,4.84818603207,0.0,0,0.04640718562874251,high_density,non-CBD
19700,2019,0,0,0,1,0,-inf,-inf,197.0,197.0,7064,2019,019700,4848186.03207,197.0,1.457039798653091,0.7064,4.84818603207,1.457039798653091,0,0.04446107784431138,high_density,non-CBD
19700,2020,0,1,0,1,0,0.0,-inf,197.0,197.0,6778,2020,019700,4848186.03207,197.0,1.398048662977159,0.6778,4.84818603207,1.398048662977159,1,0.05568862275449102,high_density,non-CBD
19700,2021,1,0,0,1,0,-inf,0.0,197.0,197.0,7064,2021,019700,4848186.03207,197.0,1.457039798653091,0.7064,4.84818603207,1.457039798653091,-1,0.04446107784431138,high_density,non-CBD
19800,2012,0,0,0,0,0,-inf,-inf,198.0,198.0,5867,2012,019800,5824099.03817,198.0,1.0073661113159025,0.5867,5.82409903817,0.0,0,0.18982035928143712,low_density,non-CBD
19800,2013,0,0,0,0,0,-inf,-inf,198.0,198.0,6615,2013,019800,5824099.03817,198.0,1.1357979932426614,0.6615,5.82409903817,0.0,0,0.1251497005988024,low_density,non-CBD
19800,2014,0,0,0,0,0,-inf,-inf,198.0,198.0,6577,2014,019800,5824099.03817,198.0,1.129273378920179,0.6577,5.82409903817,0.0,0,0.1281437125748503,low_density,non-CBD
19800,2015,0,0,0,0,0,-inf,-inf,198.0,198.0,6992,2015,019800,5824099.03817,198.0,1.2005290353367633,0.6992,5.82409903817,0.0,0,0.10149700598802396,low_density,non-CBD
19800,2016,0,0,0,0,0,-inf,-inf,198.0,198.0,6970,2016,019800,5824099.03817,198.0,1.1967516270447998,0.697,5.82409903817,0.0,0,0.10209580838323354,low_density,non-CBD
19800,2017,0,0,0,0,0,-inf,-inf,198.0,198.0,6595,2017,019800,5824099.03817,198.0,1.1323639857045127,0.6595,5.82409903817,0.0,0,0.12634730538922156,low_density,non-CBD
19800,2018,0,0,0,0,0,-inf,-inf,198.0,198.0,6561,2018,019800,5824099.03817,198.0,1.12652617288966,0.6561,5.82409903817,0.0,0,0.12994011976047903,low_density,non-CBD
19800,2019,1,0,0,1,0,-inf,0.0,198.0,198.0,6878,2019,019800,5824099.03817,198.0,1.180955192369316,0.6878,5.82409903817,1.180955192369316,-1,0.10793413173652694,low_density,non-CBD
19800,2020,0,1,0,1,0,0.0,-inf,198.0,198.0,6631,2020,019800,5824099.03817,198.0,1.1385451992731803,0.6631,5.82409903817,1.1385451992731803,1,0.12395209580838323,low_density,non-CBD
19800,2021,0,1,0,1,0,0.0,-inf,198.0,198.0,6878,2021,019800,5824099.03817,198.0,1.180955192369316,0.6878,5.82409903817,1.180955192369316,1,0.10793413173652694,low_density,non-CBD
19900,2012,1,0,0,0,0,-inf,0.0,199.0,199.0,4674,2012,019900,7124982.53717,199.0,0.6560016078097624,0.4674,7.12498253717,0.0,-1,0.4940119760479042,low_density,non-CBD
19900,2013,0,0,0,0,0,-inf,-inf,199.0,199.0,4466,2013,019900,7124982.53717,199.0,0.6268085538036796,0.4466,7.12498253717,0.0,0,0.5326347305389222,mid_density,non-CBD
19900,2014,0,0,0,0,0,-inf,-inf,199.0,199.0,4886,2014,019900,7124982.53717,199.0,0.6857560667005774,0.4886,7.12498253717,0.0,0,0.4550898203592814,low_density,non-CBD
19900,2015,0,0,0,0,0,-inf,-inf,199.0,199.0,4411,2015,019900,7124982.53717,199.0,0.6190892366386097,0.4411,7.12498253717,0.0,0,0.5443113772455089,mid_density,non-CBD
