tract,year,New open,count,is_cbd,post_covid,DID,open_ln,tr_x,population,yr,TRACTCE10,SHAPE_AREA,tr_y,pop,density,post covid * density,density_rank,density_group
11500.0,2013,2,5.0,0,0,0,0.6931471805599453,11500.0,4473.0,2013.0,011500,3988223.04339,11500.0,4.473,1.1215521176563732,0.0,0.13521772345301758,low_density
11500.0,2014,1,5.0,0,0,0,0.0,11500.0,4681.0,2014.0,011500,3988223.04339,11500.0,4.681,1.1737056701876778,0.0,0.11115355233002291,low_density
11500.0,2015,2,5.0,0,0,0,0.6931471805599453,11500.0,4686.0,2015.0,011500,3988223.04339,11500.0,4.686,1.1749593613542957,0.0,0.109816653934301,low_density
11500.0,2016,1,5.0,0,0,0,0.0,11500.0,4766.0,2016.0,011500,3988223.04339,11500.0,4.766,1.195018420020182,0.0,0.10313216195569137,low_density
11500.0,2017,1,5.0,0,0,0,0.0,11500.0,4686.0,2017.0,011500,3988223.04339,11500.0,4.686,1.1749593613542957,0.0,0.109816653934301,low_density
11500.0,2018,1,5.0,0,0,0,0.0,11500.0,4612.0,2018.0,011500,3988223.04339,11500.0,4.612,1.1564047320883508,0.0,0.11764705882352941,low_density
11500.0,2019,1,5.0,0,1,0,0.0,11500.0,4472.0,2019.0,011500,3988223.04339,11500.0,4.472,1.1213013794230497,1.1213013794230497,0.13655462184873948,low_density
11500.0,2020,2,5.0,0,1,0,0.6931471805599453,11500.0,4358.0,2020.0,011500,3988223.04339,11500.0,4.358,1.0927172208241616,1.0927172208241616,0.1489686783804431,low_density
11500.0,2021,1,5.0,0,1,0,0.0,11500.0,4472.0,2021.0,011500,3988223.04339,11500.0,4.472,1.1213013794230497,1.1213013794230497,0.13655462184873948,low_density
11700.0,2018,3,3.0,0,0,0,1.0986122886681098,11700.0,2043.0,2018.0,011700,7054757.45532,11700.0,2.043,0.2895918127503266,0.0,0.8777692895339955,mid_density
11700.0,2019,1,3.0,0,1,0,0.0,11700.0,1957.0,2019.0,011700,7054757.45532,11700.0,1.957,0.2774014574412086,0.2774014574412086,0.8850267379679144,mid_density
11800.0,2013,1,6.0,0,0,0,0.0,11800.0,5879.0,2013.0,011800,9850609.66313,11800.0,5.879,0.5968158521197526,0.0,0.6027501909854851,mid_density
11800.0,2015,1,6.0,0,0,0,0.0,11800.0,5909.0,2015.0,011800,9850609.66313,11800.0,5.909,0.5998613488987273,0.0,0.5993124522536287,mid_density
11800.0,2016,1,6.0,0,0,0,0.0,11800.0,5856.0,2016.0,011800,9850609.66313,11800.0,5.856,0.594480971255872,0.0,0.6050420168067226,mid_density
11800.0,2017,2,6.0,0,0,0,0.6931471805599453,11800.0,6156.0,2017.0,011800,9850609.66313,11800.0,6.156,0.6249359390456195,0.0,0.5725744843391902,mid_density
11800.0,2018,4,6.0,0,0,0,1.3862943611198906,11800.0,6169.0,2018.0,011800,9850609.66313,11800.0,6.169,0.6262556543165085,0.0,0.5699006875477464,mid_density
11800.0,2019,1,6.0,0,1,0,0.0,11800.0,5618.0,2019.0,011800,9850609.66313,11800.0,5.618,0.5703200301426722,0.5703200301426722,0.6319709702062644,mid_density
11800.0,2020,3,6.0,0,1,0,1.0986122886681098,11800.0,5565.0,2020.0,011800,9850609.66313,11800.0,5.565,0.5649396524998168,0.5649396524998168,0.6390374331550802,mid_density
11800.0,2021,1,6.0,0,1,0,0.0,11800.0,5618.0,2021.0,011800,9850609.66313,11800.0,5.618,0.5703200301426722,0.5703200301426722,0.6319709702062644,mid_density
11900.0,2013,1,9.0,0,0,0,0.0,11900.0,5224.0,2013.0,011900,7438690.59846,11900.0,5.224,0.7022741342517327,0.0,0.46829640947288004,low_density
11900.0,2014,2,9.0,0,0,0,0.6931471805599453,11900.0,4909.0,2014.0,011900,7438690.59846,11900.0,4.909,0.6599279718686363,0.0,0.5248281130634072,mid_density
11900.0,2015,4,9.0,0,0,0,1.3862943611198906,11900.0,4260.0,2015.0,011900,7438690.59846,11900.0,4.26,0.5726814341333042,0.0,0.6294881588999236,mid_density
11900.0,2016,3,9.0,0,0,0,1.0986122886681098,11900.0,4738.0,2016.0,011900,7438690.59846,11900.0,4.738,0.636940055146384,0.0,0.5557677616501145,mid_density
11900.0,2017,3,9.0,0,0,0,1.0986122886681098,11900.0,4661.0,2017.0,011900,7438690.59846,11900.0,4.661,0.6265887710082937,0.0,0.5691367456073338,mid_density
11900.0,2018,3,9.0,0,0,0,1.0986122886681098,11900.0,5008.0,2018.0,011900,7438690.59846,11900.0,5.008,0.6732367657604665,0.0,0.5061115355233002,mid_density
11900.0,2020,1,9.0,0,1,0,0.0,11900.0,5213.0,2020.0,011900,7438690.59846,11900.0,5.213,0.7007953793748627,0.7007953793748627,0.4698242933537051,low_density
11900.0,2021,1,9.0,0,1,0,0.0,11900.0,5161.0,2021.0,011900,7438690.59846,11900.0,5.161,0.6938049017751134,0.6938049017751134,0.48242933537051186,low_density
12000.0,2013,1,3.0,0,0,0,0.0,12000.0,1906.0,2013.0,012000,6463440.09842,12000.0,1.906,0.2948894042455697,0.0,0.8735676088617265,mid_density
12000.0,2015,3,3.0,0,0,0,1.0986122886681098,12000.0,1883.0,2015.0,012000,6463440.09842,12000.0,1.883,0.29133092769905966,0.0,0.8758594346829641,mid_density
12000.0,2018,1,3.0,0,0,0,0.0,12000.0,1924.0,2018.0,012000,6463440.09842,12000.0,1.924,0.29767429893414277,0.0,0.8716577540106952,mid_density
12000.0,2019,4,3.0,0,1,0,1.3862943611198906,12000.0,1890.0,2019.0,012000,6463440.09842,12000.0,1.89,0.2924139423001714,0.2924139423001714,0.8749045072574484,mid_density
12000.0,2020,2,3.0,0,1,0,0.6931471805599453,12000.0,2132.0,2020.0,012000,6463440.09842,12000.0,2.132,0.32985530422432036,0.32985530422432036,0.852559205500382,mid_density
12000.0,2021,1,3.0,0,1,0,0.0,12000.0,1890.0,2021.0,012000,6463440.09842,12000.0,1.89,0.2924139423001714,0.2924139423001714,0.8749045072574484,mid_density
12100.0,2013,4,6.0,0,0,0,1.3862943611198906,12100.0,2952.0,2013.0,012100,9480608.69018,12100.0,2.952,0.3113724125179512,0.0,0.8659281894576012,mid_density
12100.0,2015,2,6.0,0,0,0,0.6931471805599453,12100.0,2968.0,2015.0,012100,9480608.69018,12100.0,2.968,0.313060067870352,0.0,0.8640183346065698,mid_density
12100.0,2016,2,6.0,0,0,0,0.6931471805599453,12100.0,2933.0,2016.0,012100,9480608.69018,12100.0,2.933,0.3093683217869752,0.0,0.8674560733384262,mid_density
