tr,population,TRACTCE10,SHAPE_AREA,density,density_rank,density_group
192.0,8889.642857142857,019200,7070677.46952,1257.2547532346061,0.9244791666666666,high_density
197.0,7078.071428571428,019700,4848186.03207,1459.9422096741096,0.9609375,high_density
198.0,6449.714285714285,019800,5824099.03817,1107.41837380239,0.8723958333333334,mid_density
199.0,4549.428571428572,019900,7124982.53717,638.5178556852403,0.4921875,low_density
200.0,1304.357142857143,020000,3408503.21438,382.67739849979955,0.2604166666666667,low_density
202.0,4753.785714285715,020200,8146502.14657,583.5370357432788,0.4296875,low_density
203.0,2894.5714285714284,020300,5469231.50215,529.2464631335405,0.3776041666666667,low_density
204.0,2784.3571428571427,020400,4385036.4098,634.9678503545507,0.4895833333333333,low_density
205.0,2673.0714285714284,020500,15386061.2765,173.73331488378778,0.09375,low_density
206.0,1855.642857142857,020600,14560943.9168,127.43973658204051,0.07552083333333333,low_density
13.0,5984.857142857143,001300,8374814.27097,714.6256560700965,0.5885416666666666,mid_density
14.0,4146.5,001400,3399572.62899,1219.712138120111,0.9166666666666666,high_density
15.0,2924.0,001500,2576673.60477,1134.7964269075528,0.8854166666666666,mid_density
16.0,2190.5,001600,2113797.48621,1036.286595234592,0.8411458333333334,mid_density
17.0,2952.0,001700,2384377.66074,1238.0589067773083,0.921875,high_density
18.0,3090.0,001800,2610295.00299,1183.7742463823113,0.9010416666666666,high_density
19.0,3219.285714285714,001900,3534209.50822,910.8927206488964,0.75,mid_density
20.0,1942.2142857142858,002000,3114739.77347,623.5558752796055,0.4817708333333333,low_density
21.0,2105.5,002100,2556634.09571,823.5437380472249,0.6744791666666666,mid_density
22.0,2210.5,002200,2461664.2443,897.969739422599,0.7369791666666666,mid_density
23.0,2757.4285714285716,002300,2285816.31951,1206.3211500824657,0.9088541666666666,high_density
24.0,4777.357142857143,002400,5762976.14753,828.9739573023757,0.6796875,mid_density
25.0,3904.4285714285716,002500,4291267.5708,909.854374496785,0.7473958333333334,mid_density
29.0,4046.5714285714284,002900,3984921.01845,1015.4709239746509,0.8255208333333334,mid_density
31.0,4199.142857142857,003100,4261719.47752,985.316579210052,0.7942708333333334,mid_density
258.0,1674.5714285714287,025800,6310223.92561,265.3743271732707,0.15104166666666666,low_density
259.0,4540.857142857143,025900,5915394.45374,767.6338709730833,0.6276041666666666,mid_density
260.0,2973.714285714286,026000,5842588.74638,508.97203530828085,0.3541666666666667,low_density
261.0,3194.4285714285716,026100,6989072.08177,457.0604701246084,0.3203125,low_density
262.0,4168.214285714285,026200,5983930.22781,696.5679957869042,0.5625,mid_density
348.01,4382.714285714285,034801,14966976.5937,292.82562568842974,0.16927083333333334,low_density
263.02,5202.5,026302,7582372.5935,686.1308826289875,0.5546875,mid_density
264.0,5566.142857142857,026400,8577749.33333,648.9048165017902,0.515625,mid_density
265.0,4962.285714285715,026500,5873764.1678,844.8220889577055,0.6953125,mid_density
266.0,6519.0,026600,9810093.69158,664.5196473093072,0.5286458333333334,mid_density
267.0,6823.5,026700,6930542.37944,984.5549780118869,0.7916666666666666,mid_density
268.0,4609.285714285715,026800,8372047.1355,550.556589049882,0.3984375,low_density
299.0,4311.214285714285,029900,6366781.50164,677.1418627455288,0.5442708333333334,mid_density
300.0,7323.142857142857,030000,9804098.41092,746.9470980611735,0.6171875,mid_density
301.0,5552.071428571428,030100,7804902.08258,711.3569612824825,0.5833333333333334,mid_density
302.0,7980.0,030200,9705454.2713,822.218082423783,0.671875,mid_density
306.0,7346.785714285715,030600,10867753.9658,676.0169338950343,0.5416666666666666,mid_density
307.0,4045.4285714285716,030700,7076488.58899,571.6717437688909,0.421875,low_density
308.0,5207.642857142857,030800,8564915.46871,608.0203448788039,0.4583333333333333,low_density
309.0,4440.0,030900,6941459.17174,639.6349658118114,0.4973958333333333,low_density
310.0,7638.357142857143,031000,11445952.1783,667.3413468683235,0.53125,mid_density
312.0,4957.428571428572,031200,4626629.77765,1071.4988684369282,0.8619791666666666,mid_density
313.0,7198.285714285715,031300,7654590.5986,940.3880745238365,0.7682291666666666,mid_density
316.0,6198.0,031600,7685200.23384,806.4851677785234,0.6536458333333334,mid_density
317.0,5845.071428571428,031700,9489524.47089,615.9498767827333,0.4713541666666667,low_density
363.03,6450.857142857143,036303,27118140.7817,237.87977187618787,0.125,low_density
347.01,6698.214285714285,034701,12165507.089,550.5906360262436,0.4010416666666667,low_density
348.02,5556.785714285715,034802,13348137.9252,416.29669587059317,0.296875,low_density
349.0,5678.142857142857,034900,20923640.6093,271.37451666126753,0.15364583333333334,low_density
351.0,3861.6428571428573,035100,15729968.8795,245.49589937050183,0.1328125,low_density
352.0,4496.642857142857,035200,20045349.3496,224.32349662354906,0.109375,low_density
353.01,5549.571428571428,035301,15197586.6149,365.16136207643154,0.23177083333333334,low_density
263.01,3888.0714285714284,026301,4377130.89141,888.2693995287331,0.7265625,mid_density
8.04,4099.769230769231,000804,1565712.39673,2618.468908678008,1.0,high_density
12.02,5079.0,001202,3321522.86733,1529.1178784154345,0.96875,high_density
12.01,3934.076923076923,001201,3753325.87661,1048.1575680900314,0.8463541666666666,mid_density
8.03,3294.769230769231,000803,1644990.70784,2002.910542330976,0.9947916666666666,high_density
9809.0,1.6153846153846152,980900,221323313.824,0.0072987548734662275,0.018229166666666668,low_density
27.02,4023.076923076923,002702,3957352.34244,1016.6082205852813,0.8307291666666666,mid_density
30.02,3016.3076923076924,003002,2442816.3247,1234.766470900395,0.9192708333333334,high_density
30.01,4173.076923076923,003001,2438714.96536,1711.1786257730612,0.984375,high_density
28.02,5439.769230769231,002802,3903930.8016,1393.4082101403485,0.9479166666666666,high_density
9807.0,0.0,980700,80872679.8123,0.0,0.009114583333333334,low_density
27.01,4076.5384615384614,002701,2420220.83566,1684.3663195828904,0.9817708333333334,high_density
9806.0,7.0769230769230775,980600,13850384.0485,0.5109550068894668,0.020833333333333332,low_density
337.01,5810.615384615385,033701,10427966.829,557.2146018393693,0.4166666666666667,low_density
337.02,5106.615384615385,033702,11371657.3539,449.06518246999684,0.3125,low_density
315.02,3975.0,031502,6221114.64946,638.9530211189782,0.4947916666666667,low_density
314.01,7119.846153846154,031401,6402813.60258,1111.9871037597015,0.8776041666666666,mid_density
314.02,5789.0,031402,6073490.07121,953.1587163435797,0.7786458333333334,mid_density
167.01,2822.4615384615386,016701,2734505.19703,1032.1653590298786,0.8359375,mid_density
167.02,2835.846153846154,016702,3822363.41747,741.9090871592696,0.6067708333333334,mid_density
279.01,4309.153846153846,027901,4475569.55559,962.8168644528604,0.78125,mid_density
279.02,4386.846153846154,027902,9560528.91996,458.8497342116202,0.3229166666666667,low_density
81.01,2750.076923076923,008101,2623528.34626,1048.2360242066093,0.8489583333333334,mid_density
71.02,4698.230769230769,007102,4475107.56109,1049.858736375584,0.8515625,mid_density
88.02,6583.076923076923,008802,4241593.69873,1552.0291170387204,0.9713541666666666,high_density
87.02,3074.846153846154,008702,3052141.0838,1007.4390630782655,0.8125,mid_density
87.01,4496.923076923077,008701,2793546.24202,1609.7543005664993,0.9765625,high_density
81.02,5394.461538461538,008102,3901745.07262,1382.576626114424,0.9401041666666666,high_density
86.02,2875.846153846154,008602,3973595.26558,723.7390729642882,0.59375,mid_density
375.0,4039.076923076923,037500,11023730.3629,366.398377873093,0.23958333333333334,low_density
9808.0,0.0,980800,23367258.6611,0.0,0.009114583333333334,low_density
180.02,5688.0,018002,4733735.5401,1201.5880379916284,0.90625,high_density
88.01,2001.3846153846155,008801,1988869.2662,1006.292695752963,0.8098958333333334,mid_density
122.01,2962.846153846154,012201,3880478.72315,763.5259371918543,0.625,mid_density
98.01,2323.6923076923076,009801,3235162.11653,718.2614731482682,0.5911458333333334,mid_density
71.01,2716.4615384615386,007101,2725929.53716,996.5266898614242,0.8046875,mid_density
28.01,4490.692307692308,002801,2399887.0529,1871.2098564246176,0.9921875,high_density
9805.0,0.0,980500,4472441.39019,0.0,0.009114583333333334,low_density
8.01,1578.4615384615386,000801,1236167.55109,1276.8993467509467,0.9270833333333334,high_density
11.01,3497.5384615384614,001101,1872867.63651,1867.4776547775464,0.9895833333333334,high_density
274.02,7169.692307692308,027402,5503656.50541,1302.7143501133517,0.9322916666666666,high_density
86.01,3067.3846153846157,008601,2717461.0013,1128.7685872648096,0.8802083333333334,mid_density
365.02,4117.076923076923,036502,18253775.761,225.54659249585174,0.11197916666666667,low_density
367.0,2931.0,036700,8623965.99768,339.86683166289055,0.21875,low_density
